Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate, Formatted ,,
2015,Work Experience by Education,Full Time,Grade 6,"Baltimore County, Maryland","2,711",,"2,711",,
2015,Work Experience by Education,Full Time,Grade 7,"Baltimore County, Maryland","1,548",,"1,548",,
2015,Work Experience by Education,Full Time,Grade 8,"Baltimore County, Maryland","2,986",,"2,986",,
2015,Work Experience by Education,Full Time,Grade 9,"Baltimore County, Maryland","5,423",,"5,423",,
2015,Work Experience by Education,Full Time,Grade 10,"Baltimore County, Maryland","6,019",,"6,019",,
2015,Work Experience by Education,Full Time,Grade 11,"Baltimore County, Maryland","7,957",,"7,957",,
2015,Work Experience by Education,Full Time,Grade 12,"Baltimore County, Maryland","9,086",,"9,086",,
2015,Work Experience by Education,Full Time,Regular Highschool Diploma,"Baltimore County, Maryland","166,776",,"166,776",,
2015,Work Experience by Education,Full Time,GED,"Baltimore County, Maryland","22,328",,"22,328",,
2015,Work Experience by Education,Full Time,Some College,"Baltimore County, Maryland","44,486",,"44,486",,
2015,Work Experience by Education,Full Time,1 or more,"Baltimore County, Maryland","115,222",,"115,222",,
2015,Work Experience by Education,Full Time,Associate,"Baltimore County, Maryland","58,123",,"58,123",,
2015,Work Experience by Education,Full Time,Bachlor's,"Baltimore County, Maryland","186,803",,"186,803",,
2015,Work Experience by Education,Full Time,Master's,"Baltimore County, Maryland","84,290",,"84,290",,
2015,Work Experience by Education,Full Time,Professional,"Baltimore County, Maryland","24,033",,"24,033",,
2015,Work Experience by Education,Full Time,Doctoral,"Baltimore County, Maryland","17,786",,"17,786",,
2016,Work Experience by Education,Not Working,N/A,"Baltimore County, Maryland","57,555",,"57,555",,
2016,Work Experience by Education,Not Working,No School,"Baltimore County, Maryland","45,278",,"45,278",,
2016,Work Experience by Education,Not Working,Nursery,"Baltimore County, Maryland","26,980",,"26,980",,
2016,Work Experience by Education,Not Working,Kindergarten,"Baltimore County, Maryland","25,113",,"25,113",,
2016,Work Experience by Education,Not Working,Grade 1,"Baltimore County, Maryland","19,884",,"19,884",,
2016,Work Experience by Education,Not Working,Grade 2,"Baltimore County, Maryland","20,596",,"20,596",,
2016,Work Experience by Education,Not Working,Grade 3,"Baltimore County, Maryland","18,701",,"18,701",,
2016,Work Experience by Education,Not Working,Grade 4,"Baltimore County, Maryland","16,204",,"16,204",,
2016,Work Experience by Education,Not Working,Grade 5,"Baltimore County, Maryland","21,773",,"21,773",,
2016,Work Experience by Education,Not Working,Grade 6,"Baltimore County, Maryland","22,333",,"22,333",,
2016,Work Experience by Education,Not Working,Grade 7,"Baltimore County, Maryland","18,032",,"18,032",,
2016,Work Experience by Education,Not Working,Grade 8,"Baltimore County, Maryland","29,864",,"29,864",,
2016,Work Experience by Education,Not Working,Grade 9,"Baltimore County, Maryland","25,319",,"25,319",,
2016,Work Experience by Education,Not Working,Grade 10,"Baltimore County, Maryland","26,338",,"26,338",,
2016,Work Experience by Education,Not Working,Grade 11,"Baltimore County, Maryland","20,161",,"20,161",,
2016,Work Experience by Education,Not Working,Grade 12,"Baltimore County, Maryland","11,498",,"11,498",,
2016,Work Experience by Education,Not Working,Regular Highschool Diploma,"Baltimore County, Maryland","114,462",,"114,462",,
2016,Work Experience by Education,Not Working,GED,"Baltimore County, Maryland","18,722",,"18,722",,
2016,Work Experience by Education,Not Working,Some College,"Baltimore County, Maryland","29,981",,"29,981",,
2016,Work Experience by Education,Not Working,1 or more,"Baltimore County, Maryland","52,958",,"52,958",,
2016,Work Experience by Education,Not Working,Associate,"Baltimore County, Maryland","23,118",,"23,118",,
2016,Work Experience by Education,Not Working,Bachlor's,"Baltimore County, Maryland","55,679",,"55,679",,
2016,Work Experience by Education,Not Working,Master's,"Baltimore County, Maryland","25,069",,"25,069",,
2016,Work Experience by Education,Not Working,Professional,"Baltimore County, Maryland","7,415",,"7,415",,
2016,Work Experience by Education,Not Working,Doctoral,"Baltimore County, Maryland","3,069",,"3,069",,
2016,Work Experience by Education,Part Time,N/A,"Baltimore County, Maryland",0,, -   ,,
2016,Work Experience by Education,Part Time,No School,"Baltimore County, Maryland",625,,625,,
2016,Work Experience by Education,Part Time,Nursery,"Baltimore County, Maryland",0,, -   ,,
2016,Work Experience by Education,Part Time,Kindergarten,"Baltimore County, Maryland",0,, -   ,,
2016,Work Experience by Education,Part Time,Grade 1,"Baltimore County, Maryland",76,,76,,
2016,Work Experience by Education,Part Time,Grade 2,"Baltimore County, Maryland",37,,37,,
2016,Work Experience by Education,Part Time,Grade 3,"Baltimore County, Maryland",0,, -   ,,
2016,Work Experience by Education,Part Time,Grade 4,"Baltimore County, Maryland",117,,117,,
2016,Work Experience by Education,Part Time,Grade 5,"Baltimore County, Maryland",82,,82,,
2016,Work Experience by Education,Part Time,Grade 6,"Baltimore County, Maryland",276,,276,,
2016,Work Experience by Education,Part Time,Grade 7,"Baltimore County, Maryland",485,,485,,
2016,Work Experience by Education,Part Time,Grade 8,"Baltimore County, Maryland",505,,505,,
2016,Work Experience by Education,Part Time,Grade 9,"Baltimore County, Maryland","1,255",,"1,255",,
2016,Work Experience by Education,Part Time,Grade 10,"Baltimore County, Maryland","4,878",,"4,878",,
2016,Work Experience by Education,Part Time,Grade 11,"Baltimore County, Maryland","7,241",,"7,241",,
2016,Work Experience by Education,Part Time,Grade 12,"Baltimore County, Maryland","3,487",,"3,487",,
2016,Work Experience by Education,Part Time,Regular Highschool Diploma,"Baltimore County, Maryland","29,908",,"29,908",,
2016,Work Experience by Education,Part Time,GED,"Baltimore County, Maryland","4,156",,"4,156",,
2016,Work Experience by Education,Part Time,Some College,"Baltimore County, Maryland","11,021",,"11,021",,
2016,Work Experience by Education,Part Time,1 or more,"Baltimore County, Maryland","32,275",,"32,275",,
2016,Work Experience by Education,Part Time,Associate,"Baltimore County, Maryland","9,635",,"9,635",,
2016,Work Experience by Education,Part Time,Bachlor's,"Baltimore County, Maryland","24,068",,"24,068",,
2016,Work Experience by Education,Part Time,Master's,"Baltimore County, Maryland","11,264",,"11,264",,
2016,Work Experience by Education,Part Time,Professional,"Baltimore County, Maryland","3,037",,"3,037",,
2016,Work Experience by Education,Part Time,Doctoral,"Baltimore County, Maryland","1,648",,"1,648",,
2016,Work Experience by Education,Full Time,N/A,"Baltimore County, Maryland",0,, -   ,,
2016,Work Experience by Education,Full Time,No School,"Baltimore County, Maryland","4,310",,"4,310",,
2016,Work Experience by Education,Full Time,Nursery,"Baltimore County, Maryland",313,,313,,
2016,Work Experience by Education,Full Time,Kindergarten,"Baltimore County, Maryland",615,,615,,
2016,Work Experience by Education,Full Time,Grade 1,"Baltimore County, Maryland",17,,17,,
2016,Work Experience by Education,Full Time,Grade 2,"Baltimore County, Maryland",264,,264,,
2016,Work Experience by Education,Full Time,Grade 3,"Baltimore County, Maryland",450,,450,,
2016,Work Experience by Education,Full Time,Grade 4,"Baltimore County, Maryland",296,,296,,
2016,Work Experience by Education,Full Time,Grade 5,"Baltimore County, Maryland",432,,432,,
2016,Work Experience by Education,Full Time,Grade 6,"Baltimore County, Maryland","3,001",,"3,001",,
2016,Work Experience by Education,Full Time,Grade 7,"Baltimore County, Maryland","1,382",,"1,382",,
2016,Work Experience by Education,Full Time,Grade 8,"Baltimore County, Maryland","1,659",,"1,659",,
2016,Work Experience by Education,Full Time,Grade 9,"Baltimore County, Maryland","5,345",,"5,345",,
2016,Work Experience by Education,Full Time,Grade 10,"Baltimore County, Maryland","5,907",,"5,907",,
2016,Work Experience by Education,Full Time,Grade 11,"Baltimore County, Maryland","7,513",,"7,513",,
2016,Work Experience by Education,Full Time,Grade 12,"Baltimore County, Maryland","8,665",,"8,665",,
2016,Work Experience by Education,Full Time,Regular Highschool Diploma,"Baltimore County, Maryland","171,896",,"171,896",,
2016,Work Experience by Education,Full Time,GED,"Baltimore County, Maryland","19,635",,"19,635",,
2016,Work Experience by Education,Full Time,Some College,"Baltimore County, Maryland","45,626",,"45,626",,
2016,Work Experience by Education,Full Time,1 or more,"Baltimore County, Maryland","120,606",,"120,606",,
2016,Work Experience by Education,Full Time,Associate,"Baltimore County, Maryland","57,385",,"57,385",,
2016,Work Experience by Education,Full Time,Bachlor's,"Baltimore County, Maryland","188,587",,"188,587",,
2016,Work Experience by Education,Full Time,Master's,"Baltimore County, Maryland","90,037",,"90,037",,
2016,Work Experience by Education,Full Time,Professional,"Baltimore County, Maryland","22,720",,"22,720",,
2016,Work Experience by Education,Full Time,Doctoral,"Baltimore County, Maryland","16,046",,"16,046",,
2017,Work Experience by Education,Not Working,N/A,"Baltimore County, Maryland","55,989",,"55,989",,
2017,Work Experience by Education,Not Working,No School,"Baltimore County, Maryland","43,654",,"43,654",,
2017,Work Experience by Education,Not Working,Nursery,"Baltimore County, Maryland","24,360",,"24,360",,
2017,Work Experience by Education,Not Working,Kindergarten,"Baltimore County, Maryland","21,645",,"21,645",,
2017,Work Experience by Education,Not Working,Grade 1,"Baltimore County, Maryland","20,328",,"20,328",,
2017,Work Experience by Education,Not Working,Grade 2,"Baltimore County, Maryland","24,424",,"24,424",,
2017,Work Experience by Education,Not Working,Grade 3,"Baltimore County, Maryland","18,903",,"18,903",,
2017,Work Experience by Education,Not Working,Grade 4,"Baltimore County, Maryland","21,417",,"21,417",,
2017,Work Experience by Education,Not Working,Grade 5,"Baltimore County, Maryland","20,030",,"20,030",,
2017,Work Experience by Education,Not Working,Grade 6,"Baltimore County, Maryland","23,154",,"23,154",,
2017,Work Experience by Education,Not Working,Grade 7,"Baltimore County, Maryland","21,516",,"21,516",,
2017,Work Experience by Education,Not Working,Grade 8,"Baltimore County, Maryland","29,217",,"29,217",,
2017,Work Experience by Education,Not Working,Grade 9,"Baltimore County, Maryland","22,967",,"22,967",,
2017,Work Experience by Education,Not Working,Grade 10,"Baltimore County, Maryland","28,725",,"28,725",,
2017,Work Experience by Education,Not Working,Grade 11,"Baltimore County, Maryland","20,405",,"20,405",,
2017,Work Experience by Education,Not Working,Grade 12,"Baltimore County, Maryland","10,199",,"10,199",,
2017,Work Experience by Education,Not Working,Regular Highschool Diploma,"Baltimore County, Maryland","113,774",,"113,774",,
2017,Work Experience by Education,Not Working,GED,"Baltimore County, Maryland","16,039",,"16,039",,
2017,Work Experience by Education,Not Working,Some College,"Baltimore County, Maryland","28,242",,"28,242",,
2017,Work Experience by Education,Not Working,1 or more,"Baltimore County, Maryland","59,146",,"59,146",,
2017,Work Experience by Education,Not Working,Associate,"Baltimore County, Maryland","19,412",,"19,412",,
2017,Work Experience by Education,Not Working,Bachlor's,"Baltimore County, Maryland","61,618",,"61,618",,
2017,Work Experience by Education,Not Working,Master's,"Baltimore County, Maryland","27,222",,"27,222",,
2017,Work Experience by Education,Not Working,Professional,"Baltimore County, Maryland","6,459",,"6,459",,
2017,Work Experience by Education,Not Working,Doctoral,"Baltimore County, Maryland","4,437",,"4,437",,
2017,Work Experience by Education,Part Time,N/A,"Baltimore County, Maryland",0,, -   ,,
2017,Work Experience by Education,Part Time,No School,"Baltimore County, Maryland",710,,710,,
2017,Work Experience by Education,Part Time,Nursery,"Baltimore County, Maryland",0,, -   ,,
2017,Work Experience by Education,Part Time,Kindergarten,"Baltimore County, Maryland",0,, -   ,,
2017,Work Experience by Education,Part Time,Grade 1,"Baltimore County, Maryland",75,,75,,
2017,Work Experience by Education,Part Time,Grade 2,"Baltimore County, Maryland",201,,201,,
2017,Work Experience by Education,Part Time,Grade 3,"Baltimore County, Maryland",0,, -   ,,
2017,Work Experience by Education,Part Time,Grade 4,"Baltimore County, Maryland",323,,323,,
2017,Work Experience by Education,Part Time,Grade 5,"Baltimore County, Maryland",88,,88,,
2017,Work Experience by Education,Part Time,Grade 6,"Baltimore County, Maryland",136,,136,,
2017,Work Experience by Education,Part Time,Grade 7,"Baltimore County, Maryland",158,,158,,
2017,Work Experience by Education,Part Time,Grade 8,"Baltimore County, Maryland",718,,718,,
2017,Work Experience by Education,Part Time,Grade 9,"Baltimore County, Maryland","2,211",,"2,211",,
2017,Work Experience by Education,Part Time,Grade 10,"Baltimore County, Maryland","4,622",,"4,622",,
2017,Work Experience by Education,Part Time,Grade 11,"Baltimore County, Maryland","7,073",,"7,073",,
2017,Work Experience by Education,Part Time,Grade 12,"Baltimore County, Maryland","3,139",,"3,139",,
2017,Work Experience by Education,Part Time,Regular Highschool Diploma,"Baltimore County, Maryland","32,694",,"32,694",,
2017,Work Experience by Education,Part Time,GED,"Baltimore County, Maryland","4,195",,"4,195",,
2017,Work Experience by Education,Part Time,Some College,"Baltimore County, Maryland","11,066",,"11,066",,
2017,Work Experience by Education,Part Time,1 or more,"Baltimore County, Maryland","30,231",,"30,231",,
2017,Work Experience by Education,Part Time,Associate,"Baltimore County, Maryland","9,783",,"9,783",,
2017,Work Experience by Education,Part Time,Bachlor's,"Baltimore County, Maryland","22,157",,"22,157",,
2017,Work Experience by Education,Part Time,Master's,"Baltimore County, Maryland","12,183",,"12,183",,
2017,Work Experience by Education,Part Time,Professional,"Baltimore County, Maryland","3,089",,"3,089",,
2017,Work Experience by Education,Part Time,Doctoral,"Baltimore County, Maryland","1,770",,"1,770",,
2017,Work Experience by Education,Full Time,N/A,"Baltimore County, Maryland",0,, -   ,,
2017,Work Experience by Education,Full Time,No School,"Baltimore County, Maryland","5,110",,"5,110",,
2017,Work Experience by Education,Full Time,Nursery,"Baltimore County, Maryland",64,,64,,
2017,Work Experience by Education,Full Time,Kindergarten,"Baltimore County, Maryland",395,,395,,
2017,Work Experience by Education,Full Time,Grade 1,"Baltimore County, Maryland",183,,183,,
2017,Work Experience by Education,Full Time,Grade 2,"Baltimore County, Maryland",126,,126,,
2017,Work Experience by Education,Full Time,Grade 3,"Baltimore County, Maryland",145,,145,,
2017,Work Experience by Education,Full Time,Grade 4,"Baltimore County, Maryland",534,,534,,
2017,Work Experience by Education,Full Time,Grade 5,"Baltimore County, Maryland",831,,831,,
2017,Work Experience by Education,Full Time,Grade 6,"Baltimore County, Maryland","2,021",,"2,021",,
2017,Work Experience by Education,Full Time,Grade 7,"Baltimore County, Maryland",831,,831,,
2017,Work Experience by Education,Full Time,Grade 8,"Baltimore County, Maryland","2,351",,"2,351",,
2017,Work Experience by Education,Full Time,Grade 9,"Baltimore County, Maryland","5,380",,"5,380",,
2017,Work Experience by Education,Full Time,Grade 10,"Baltimore County, Maryland","7,000",,"7,000",,
2017,Work Experience by Education,Full Time,Grade 11,"Baltimore County, Maryland","8,296",,"8,296",,
2017,Work Experience by Education,Full Time,Grade 12,"Baltimore County, Maryland","9,261",,"9,261",,
2017,Work Experience by Education,Full Time,Regular Highschool Diploma,"Baltimore County, Maryland","168,886",,"168,886",,
2017,Work Experience by Education,Full Time,GED,"Baltimore County, Maryland","21,012",,"21,012",,
2017,Work Experience by Education,Full Time,Some College,"Baltimore County, Maryland","47,290",,"47,290",,
2017,Work Experience by Education,Full Time,1 or more,"Baltimore County, Maryland","112,852",,"112,852",,
2017,Work Experience by Education,Full Time,Associate,"Baltimore County, Maryland","57,581",,"57,581",,
2017,Work Experience by Education,Full Time,Bachlor's,"Baltimore County, Maryland","187,101",,"187,101",,
2017,Work Experience by Education,Full Time,Master's,"Baltimore County, Maryland","94,046",,"94,046",,
2017,Work Experience by Education,Full Time,Professional,"Baltimore County, Maryland","25,964",,"25,964",,
2017,Work Experience by Education,Full Time,Doctoral,"Baltimore County, Maryland","14,393",,"14,393",,
2015,Work Experience by Poverty,Not Working,0-25,"Baltimore County, Maryland","62,779",,"62,779",,
2015,Work Experience by Poverty,Not Working,26-50,"Baltimore County, Maryland","17,351",,"17,351",,
2015,Work Experience by Poverty,Not Working,51-75,"Baltimore County, Maryland","24,982",,"24,982",,
2015,Work Experience by Poverty,Not Working,76-100,"Baltimore County, Maryland","27,700",,"27,700",,
2015,Work Experience by Poverty,Not Working,100-500,"Baltimore County, Maryland","441,706",,"441,706",,
2015,Work Experience by Poverty,Not Working,501,"Baltimore County, Maryland","168,892",,"168,892",,
2015,Work Experience by Poverty,Part Time,0-25,"Baltimore County, Maryland","15,607",,"15,607",,
2015,Work Experience by Poverty,Part Time,26-50,"Baltimore County, Maryland","4,106",,"4,106",,
2015,Work Experience by Poverty,Part Time,51-75,"Baltimore County, Maryland","5,879",,"5,879",,
2015,Work Experience by Poverty,Part Time,76-100,"Baltimore County, Maryland","4,609",,"4,609",,
2015,Work Experience by Poverty,Part Time,100-500,"Baltimore County, Maryland","74,973",,"74,973",,
2015,Work Experience by Poverty,Part Time,501,"Baltimore County, Maryland","44,290",,"44,290",,
2015,Work Experience by Poverty,Full Time,0-25,"Baltimore County, Maryland","7,665",,"7,665",,
2015,Work Experience by Poverty,Full Time,26-50,"Baltimore County, Maryland","4,575",,"4,575",,
2015,Work Experience by Poverty,Full Time,51-75,"Baltimore County, Maryland","6,969",,"6,969",,
2015,Work Experience by Poverty,Full Time,76-100,"Baltimore County, Maryland","10,400",,"10,400",,
2015,Work Experience by Poverty,Full Time,100-500,"Baltimore County, Maryland","389,321",,"389,321",,
2015,Work Experience by Poverty,Full Time,501,"Baltimore County, Maryland","341,518",,"341,518",,
2016,Work Experience by Poverty,Not Working,0-25,"Baltimore County, Maryland","64,128",,"64,128",,
2016,Work Experience by Poverty,Not Working,26-50,"Baltimore County, Maryland","17,079",,"17,079",,
2016,Work Experience by Poverty,Not Working,51-75,"Baltimore County, Maryland","20,623",,"20,623",,
2016,Work Experience by Poverty,Not Working,76-100,"Baltimore County, Maryland","26,928",,"26,928",,
2016,Work Experience by Poverty,Not Working,100-500,"Baltimore County, Maryland","424,395",,"424,395",,
2016,Work Experience by Poverty,Not Working,501,"Baltimore County, Maryland","182,949",,"182,949",,
2016,Work Experience by Poverty,Part Time,0-25,"Baltimore County, Maryland","16,766",,"16,766",,
2016,Work Experience by Poverty,Part Time,26-50,"Baltimore County, Maryland","4,664",,"4,664",,
2016,Work Experience by Poverty,Part Time,51-75,"Baltimore County, Maryland","3,870",,"3,870",,
2016,Work Experience by Poverty,Part Time,76-100,"Baltimore County, Maryland","5,666",,"5,666",,
2016,Work Experience by Poverty,Part Time,100-500,"Baltimore County, Maryland","69,925",,"69,925",,
2016,Work Experience by Poverty,Part Time,501,"Baltimore County, Maryland","45,185",,"45,185",,
2016,Work Experience by Poverty,Full Time,0-25,"Baltimore County, Maryland","9,130",,"9,130",,
2016,Work Experience by Poverty,Full Time,26-50,"Baltimore County, Maryland","5,870",,"5,870",,
2016,Work Experience by Poverty,Full Time,51-75,"Baltimore County, Maryland","6,052",,"6,052",,
2016,Work Experience by Poverty,Full Time,76-100,"Baltimore County, Maryland","11,316",,"11,316",,
2016,Work Experience by Poverty,Full Time,100-500,"Baltimore County, Maryland","377,150",,"377,150",,
2016,Work Experience by Poverty,Full Time,501,"Baltimore County, Maryland","363,189",,"363,189",,
2017,Work Experience by Poverty,Not Working,0-25,"Baltimore County, Maryland","63,603",,"63,603",,
2017,Work Experience by Poverty,Not Working,26-50,"Baltimore County, Maryland","12,947",,"12,947",,
2017,Work Experience by Poverty,Not Working,51-75,"Baltimore County, Maryland","24,382",,"24,382",,
2017,Work Experience by Poverty,Not Working,76-100,"Baltimore County, Maryland","22,172",,"22,172",,
2017,Work Experience by Poverty,Not Working,100-500,"Baltimore County, Maryland","437,394",,"437,394",,
2017,Work Experience by Poverty,Not Working,501,"Baltimore County, Maryland","182,784",,"182,784",,
2017,Work Experience by Poverty,Part Time,0-25,"Baltimore County, Maryland","15,924",,"15,924",,
2017,Work Experience by Poverty,Part Time,26-50,"Baltimore County, Maryland","5,365",,"5,365",,
2017,Work Experience by Poverty,Part Time,51-75,"Baltimore County, Maryland","6,978",,"6,978",,
2017,Work Experience by Poverty,Part Time,76-100,"Baltimore County, Maryland","3,948",,"3,948",,
2017,Work Experience by Poverty,Part Time,100-500,"Baltimore County, Maryland","68,989",,"68,989",,
2017,Work Experience by Poverty,Part Time,501,"Baltimore County, Maryland","45,418",,"45,418",,
2017,Work Experience by Poverty,Full Time,0-25,"Baltimore County, Maryland","9,206",,"9,206",,
2017,Work Experience by Poverty,Full Time,26-50,"Baltimore County, Maryland","4,047",,"4,047",,
2017,Work Experience by Poverty,Full Time,51-75,"Baltimore County, Maryland","6,614",,"6,614",,
2017,Work Experience by Poverty,Full Time,76-100,"Baltimore County, Maryland","9,989",,"9,989",,
2017,Work Experience by Poverty,Full Time,100-500,"Baltimore County, Maryland","383,335",,"383,335",,
2017,Work Experience by Poverty,Full Time,501,"Baltimore County, Maryland","358,462",,"358,462",,
2016,Work Experience by Poverty,Not Working,0-25,"Baltimore County, Maryland","64,128",,"64,128",,
2016,Work Experience by Poverty,Not Working,26-50,"Baltimore County, Maryland","17,079",,"17,079",,
2016,Work Experience by Poverty,Not Working,51-75,"Baltimore County, Maryland","20,623",,"20,623",,
2016,Work Experience by Poverty,Not Working,76-100,"Baltimore County, Maryland","26,928",,"26,928",,
2016,Work Experience by Poverty,Not Working,100-500,"Baltimore County, Maryland","424,395",,"424,395",,
2016,Work Experience by Poverty,Not Working,501,"Baltimore County, Maryland","182,949",,"182,949",,
2016,Work Experience by Poverty,Part Time,0-25,"Baltimore County, Maryland","16,766",,"16,766",,
2016,Work Experience by Poverty,Part Time,26-50,"Baltimore County, Maryland","4,664",,"4,664",,
2016,Work Experience by Poverty,Part Time,51-75,"Baltimore County, Maryland","3,870",,"3,870",,
2016,Work Experience by Poverty,Part Time,76-100,"Baltimore County, Maryland","5,666",,"5,666",,
2016,Work Experience by Poverty,Part Time,100-500,"Baltimore County, Maryland","69,925",,"69,925",,
2016,Work Experience by Poverty,Part Time,501,"Baltimore County, Maryland","45,185",,"45,185",,
2016,Work Experience by Poverty,Full Time,0-25,"Baltimore County, Maryland","9,130",,"9,130",,
2016,Work Experience by Poverty,Full Time,26-50,"Baltimore County, Maryland","5,870",,"5,870",,
2016,Work Experience by Poverty,Full Time,51-75,"Baltimore County, Maryland","6,052",,"6,052",,
2016,Work Experience by Poverty,Full Time,76-100,"Baltimore County, Maryland","11,316",,"11,316",,
2016,Work Experience by Poverty,Full Time,100-500,"Baltimore County, Maryland","377,150",,"377,150",,
2016,Work Experience by Poverty,Full Time,501,"Baltimore County, Maryland","363,189",,"363,189",,
2017,Work Experience by Poverty,Not Working,0-25,"Baltimore County, Maryland","63,603",,"63,603",,
2017,Work Experience by Poverty,Not Working,26-50,"Baltimore County, Maryland","12,947",,"12,947",,
2017,Work Experience by Poverty,Not Working,51-75,"Baltimore County, Maryland","24,382",,"24,382",,
2017,Work Experience by Poverty,Not Working,76-100,"Baltimore County, Maryland","22,172",,"22,172",,
2017,Work Experience by Poverty,Not Working,100-500,"Baltimore County, Maryland","437,394",,"437,394",,
2017,Work Experience by Poverty,Not Working,501,"Baltimore County, Maryland","182,784",,"182,784",,
2017,Work Experience by Poverty,Part Time,0-25,"Baltimore County, Maryland","15,924",,"15,924",,
2017,Work Experience by Poverty,Part Time,26-50,"Baltimore County, Maryland","5,365",,"5,365",,
2017,Work Experience by Poverty,Part Time,51-75,"Baltimore County, Maryland","6,978",,"6,978",,
2017,Work Experience by Poverty,Part Time,76-100,"Baltimore County, Maryland","3,948",,"3,948",,
2017,Work Experience by Poverty,Part Time,100-500,"Baltimore County, Maryland","68,989",,"68,989",,
2017,Work Experience by Poverty,Part Time,501,"Baltimore County, Maryland","45,418",,"45,418",,
2017,Work Experience by Poverty,Full Time,0-25,"Baltimore County, Maryland","9,206",,"9,206",,
2017,Work Experience by Poverty,Full Time,26-50,"Baltimore County, Maryland","4,047",,"4,047",,
2017,Work Experience by Poverty,Full Time,51-75,"Baltimore County, Maryland","6,614",,"6,614",,
2017,Work Experience by Poverty,Full Time,76-100,"Baltimore County, Maryland","9,989",,"9,989",,
2017,Work Experience by Poverty,Full Time,100-500,"Baltimore County, Maryland","383,335",,"383,335",,
2017,Work Experience by Poverty,Full Time,501,"Baltimore County, Maryland","358,462",,"358,462",,
